Frequency (Hz)	Level (dB)
36468.750000	-119.073593
36562.500000	-118.657135
36656.250000	-117.774437
36750.000000	-116.919502
36843.750000	-115.058319
36937.500000	-114.982307
37031.250000	-115.532372
37125.000000	-116.174591
37218.750000	-115.816338
37312.500000	-115.937714
37406.250000	-116.530006
37500.000000	-116.330009
37593.750000	-115.531677
37687.500000	-111.726952
37781.250000	-107.070641
37875.000000	-104.566566
37968.750000	-104.113014
38062.500000	-104.982750
38156.250000	-107.230934
38250.000000	-112.964607
38343.750000	-113.496094
38437.500000	-105.463257
38531.250000	-101.426758
38625.000000	-98.751427
38718.750000	-95.259186
38812.500000	-92.696754
38906.250000	-92.092369
39000.000000	-93.417740
39093.750000	-98.146217
39187.500000	-98.514633
39281.250000	-90.155518
39375.000000	-86.270493
39468.750000	-84.269211
39562.500000	-82.604782
39656.250000	-81.623581
39750.000000	-81.564278
39843.750000	-81.956833
39937.500000	-82.335602
40031.250000	-82.883202
40125.000000	-83.644966
40218.750000	-84.525139
40312.500000	-85.468796
40406.250000	-86.473633
40500.000000	-87.531586
40593.750000	-88.173729
40687.500000	-88.337555
40781.250000	-88.981003
40875.000000	-90.822105
40968.750000	-92.440804
41062.500000	-93.008270
41156.250000	-93.835373
41250.000000	-95.307632
41343.750000	-96.302132
41437.500000	-98.869324
41531.250000	-104.281792
41625.000000	-106.393639
41718.750000	-108.208534
41812.500000	-110.591934
41906.250000	-113.624077
42000.000000	-116.694122
42093.750000	-120.263245
42187.500000	-120.356682
42281.250000	-119.279869
42375.000000	-118.790710
42468.750000	-115.463875
42562.500000	-111.297630
42656.250000	-108.914452
42750.000000	-103.127037
42843.750000	-101.663757
42937.500000	-100.779472
43031.250000	-99.792351
43125.000000	-101.360428
43218.750000	-101.759056
43312.500000	-104.694481
43406.250000	-109.258011
43500.000000	-104.491913
43593.750000	-104.075775
43687.500000	-106.596970
43781.250000	-108.916779
43875.000000	-103.976707
43968.750000	-101.445930
44062.500000	-104.540527
44156.250000	-103.662926
44250.000000	-101.469444
44343.750000	-105.077576
44437.500000	-108.671173
44531.250000	-106.105415
44625.000000	-104.539429
44718.750000	-105.622017
44812.500000	-110.217094
44906.250000	-104.534042
45000.000000	-102.592499
45093.750000	-102.085487
45187.500000	-100.861626
45281.250000	-102.169655
45375.000000	-102.583725
45468.750000	-104.961876
45562.500000	-110.769569
45656.250000	-112.398331
45750.000000	-116.176666
45843.750000	-118.033333
45937.500000	-120.143562
46031.250000	-121.885750
46125.000000	-119.992241
46218.750000	-116.785515
46312.500000	-114.530441
46406.250000	-112.387344
46500.000000	-110.586365
46593.750000	-108.898468
46687.500000	-106.263618
